sha,date,chrome-version,chrome,firefox-version,firefox,ladybird-version,ladybird,safari-version,safari,servo-version,servo
4c3d068f942231dc905ea283e4f82bd70801c37c,2024-09-14,130.0.6715.0,145.9648921730435,132.0a1,213.50915215138235,1.0,5465.390843901019,203 preview,769.2762231854234,Servo 0.0.1-03abf77,3299.824150759192
a8c39a102fc211f67dfc4dec645f7cd37538b998,2024-09-15,130.0.6720.0,144.01528081750192,132.0a1,216.72559576189806,1.0,5467.325769753998,203 preview,773.3015791348029,Servo 0.0.1-6a3cdc4,3276.879553165434
4a6d5cba8f92837181c19cc23af919b96d3e43b2,2024-09-16,130.0.6722.0,177.13551541013604,132.0a1,213.9771867232156,1.0,5775.414705844205,203 preview,742.0754793683534,Servo 0.0.1-9f2306f,2901.950672648963
17a5786b78d61758cece73aac30ce2ea5909f163,2024-09-17,130.0.6722.0,177.5405724416822,132.0a1,213.46453508376524,1.0,5776.1751918280415,203 preview,735.8025081163046,Servo 0.0.1-9f2306f,2894.733958066527
efc196ab640e35d9663aa91adc20705f2a4920ad,2024-09-18,131.0.6725.0,177.21325253757675,132.0a1,213.59256308023677,1.0,5740.8129453358315,203 preview,742.1229488327615,Servo 0.0.1-f8e0fde,2901.816046189071
0a477cb81a95bae2aaa1a494efdce8dd8c5cd6de,2024-09-19,131.0.6727.0,179.8384972204301,132.0a1,214.90498811304582,1.0,5737.059620974219,203 preview,745.8419691738429,Servo 0.0.1-7eda58e,2944.8619926593074
5a2cfec4558912fd7896472593d420054ae967ff,2024-09-20,131.0.6729.0,182.85271434821044,132.0a1,215.1856820190007,1.0,5771.656604137392,203 preview,748.2448667029875,Servo 0.0.1-05b2aa2,2946.520745337724
8e164c249d2b93a4234a2710a5e2cc5a16fab499,2024-09-21,131.0.6730.0,180.1574779761568,132.0a1,214.67613948979573,1.0,5716.3706779124595,203 preview,746.2197631299542,Servo 0.0.1-457d37d,2979.262286752934
8e164c249d2b93a4234a2710a5e2cc5a16fab499,2024-09-22,131.0.6730.0,182.15850701800449,132.0a1,213.6573503457456,1.0,5726.657180994762,203 preview,748.2759913832597,Servo 0.0.1-24ad2a0,2976.2982506793905
4f0be15407bc43827edcdda8bc1b30a3875c9447,2024-09-23,131.0.6735.0,184.5171003433788,132.0a1,212.9985351236525,1.0,5756.48139296583,203 preview,746.4803505739551,Servo 0.0.1-24ad2a0,3000.771953604981
47999dca71ee583c01875e3a8793acd0411c9766,2024-09-24,131.0.6736.0,190.40119550684543,132.0a1,210.95374975411852,1.0,5839.8820897295045,203 preview,745.8422771409158,Servo 0.0.1-d3d6a22,2992.0273611584335
4ab21375993d50340f1d05d6743bf5da889caf35,2024-09-25,131.0.6739.0,186.15063625175014,132.0a1,211.11062303574042,1.0,5836.124304013687,203 preview,743.9315333396692,Servo 0.0.1-d3d6a22,2990.8013504364862
30fc634d561c33720c78570e8b85a5360fa2faf6,2024-09-26,131.0.6741.0,184.03669677720043,132.0a1,212.27068280049875,1.0,5833.0051132675235,203 preview,751.5115623309821,Servo 0.0.1-2c6d9a1,2988.970826810954
dbf4b1c0813c0ff6bb522dd93becc44b2cd2a379,2024-09-27,131.0.6743.0,186.57104682934659,132.0a1,209.55206904360708,1.0,5834.858875288073,203 preview,750.5269715045772,Servo 0.0.1-a97afeb,3015.0382443296894
